Soil Moisture,Temperature,Humidity,Rain,Crop Type,Pump
41.84,27.99,48.02,0,Rice,1
90.81,30.62,44.97,0,Cotton,0
72.22,43.2,33.21,0,Sugarcane,0
60.89,26.22,65.55,0,Sugarcane,0
23.26,43.7,55.75,0,Maize,1
23.26,17.91,84.93,0,Wheat,1
14.94,40.63,22.41,0,Maize,1
83.62,42.97,68.29,0,Wheat,0
61.09,21.0,77.22,0,Maize,0
70.19,29.2,76.96,0,Maize,0
11.75,20.46,86.46,0,Sugarcane,1
92.44,38.32,74.68,0,Wheat,0
80.76,32.67,89.59,1,Rice,0
28.05,35.97,44.95,0,Rice,1
25.46,21.48,57.74,1,Maize,0
25.59,21.99,21.06,1,Maize,0
35.86,16.37,20.52,0,Sugarcane,1
54.6,25.63,38.01,0,Wheat,0
46.72,33.47,27.56,0,Maize,0
34.75,43.31,39.52,0,Rice,1
62.01,37.01,33.28,0,Wheat,0
21.86,29.37,22.14,1,Maize,1
34.83,46.45,88.2,0,Wheat,1
41.14,38.74,20.62,1,Sugarcane,1
48.77,45.7,75.21,0,Rice,1
76.74,32.41,31.41,1,Wheat,0
26.97,23.54,88.42,0,Rice,1
53.71,16.74,86.96,0,Maize,0
60.36,38.96,69.04,0,Cotton,0
13.95,19.0,70.42,0,Wheat,1
61.64,24.99,20.4,0,Rice,0
24.49,32.57,93.87,1,Wheat,0
15.53,33.63,85.84,0,Maize,1
90.66,34.82,87.13,1,Maize,0
92.08,20.49,69.44,0,Rice,0
78.71,27.53,45.86,1,Sugarcane,0
35.89,35.37,87.02,0,Wheat,1
18.3,47.0,41.86,0,Wheat,1
68.16,39.01,62.2,1,Maize,0
47.41,45.45,27.48,0,Wheat,0
20.37,40.15,89.15,0,Rice,1
52.09,34.53,30.56,0,Cotton,0
12.92,21.34,36.87,0,Maize,1
87.29,37.0,61.86,0,Cotton,0
32.0,35.57,77.31,0,Wheat,1
66.31,34.88,66.45,0,Sugarcane,0
36.5,31.16,37.41,0,Rice,1
54.21,32.45,20.07,0,Wheat,0
56.47,26.04,76.79,0,Rice,1
25.71,32.14,93.89,0,Wheat,1
92.41,21.52,80.74,1,Wheat,1
75.89,41.57,54.52,1,Wheat,0
89.86,21.13,87.78,0,Maize,0
86.06,17.8,50.74,1,Cotton,0
60.82,29.4,59.37,0,Sugarcane,0
88.36,36.72,55.78,0,Cotton,0
17.52,29.44,53.57,0,Cotton,1
26.66,24.13,78.14,0,Rice,1
13.84,33.42,59.51,0,Maize,1
37.65,26.45,43.75,0,Maize,1
43.04,45.78,39.36,0,Wheat,0
33.06,45.45,22.83,0,Cotton,1
